name,sex
Mary,F
Anna,F
Emma,F
Elizabeth,F
Minnie,F
Margaret,F
Ida,F
Alice,F
Bertha,F
Sarah,F
Annie,F
Clara,F
Ella,F
Florence,F
Cora,F
Martha,F
Laura,F
Nellie,F
Grace,F
Carrie,F
Maude,F
Mabel,F
Bessie,F
Jennie,F
Gertrude,F
Julia,F
Hattie,F
Edith,F
Mattie,F
Rose,F
Catherine,F
Lillian,F
Ada,F
Lillie,F
Helen,F
Jessie,F
Louise,F
Ethel,F
Lula,F
Myrtle,F
Eva,F
Frances,F
Lena,F
Lucy,F
Edna,F
Maggie,F
Pearl,F
Daisy,F
Fannie,F
Josephine,F
Dora,F
Rosa,F
Katherine,F
Agnes,F
Marie,F
Nora,F
May,F
Mamie,F
Blanche,F
Stella,F
Ellen,F
Nancy,F
Effie,F
Sallie,F
Nettie,F
Della,F
Lizzie,F
Flora,F
Susie,F
Maud,F
Mae,F
Etta,F
Harriet,F
Sadie,F
Caroline,F
Katie,F
Lydia,F
Elsie,F
Kate,F
Susan,F
Mollie,F
Alma,F
Addie,F
Georgia,F
Eliza,F
Lulu,F
Nannie,F
Lottie,F
Amanda,F
Belle,F
Charlotte,F
Rebecca,F
Ruth,F
Viola,F
Olive,F
Amelia,F
Hannah,F
Jane,F
Virginia,F
Emily,F
Matilda,F
Irene,F
Kathryn,F
Esther,F
Willie,F
Henrietta,F
Ollie,F
Amy,F
Rachel,F
Sara,F
Estella,F
Theresa,F
Augusta,F
Ora,F
Pauline,F
Josie,F
Lola,F
Sophia,F
Leona,F
Anne,F
Mildred,F
Ann,F
Beulah,F
Callie,F
Lou,F
Delia,F
Eleanor,F
Barbara,F
Iva,F
Louisa,F
Maria,F
Mayme,F
Evelyn,F
Estelle,F
Nina,F
Betty,F
Marion,F
Bettie,F
Dorothy,F
Luella,F
Inez,F
Lela,F
Rosie,F
Allie,F
Millie,F
Janie,F
Cornelia,F
Victoria,F
Ruby,F
Winifred,F
Alta,F
Celia,F
Christine,F
Beatrice,F
Birdie,F
Harriett,F
Mable,F
Myra,F
Sophie,F
Tillie,F
Isabel,F
Sylvia,F
Carolyn,F
Isabelle,F
Leila,F
Sally,F
Ina,F
Essie,F
Bertie,F
Nell,F
Alberta,F
Katharine,F
Lora,F
Rena,F
Mina,F
Rhoda,F
Mathilda,F
Abbie,F
Eula,F
Dollie,F
Hettie,F
Eunice,F
Fanny,F
Ola,F
Lenora,F
Adelaide,F
Christina,F
Lelia,F
Nelle,F
Sue,F
Johanna,F
Lilly,F
Lucinda,F
Minerva,F
Lettie,F
Roxie,F
Cynthia,F
Helena,F
Hilda,F
Hulda,F
Bernice,F
Genevieve,F
Jean,F
Cordelia,F
Marian,F
Francis,F
Jeanette,F
Adeline,F
Gussie,F
Leah,F
Lois,F
Lura,F
Mittie,F
Hallie,F
Isabella,F
Olga,F
Phoebe,F
Teresa,F
Hester,F
Lida,F
Lina,F
Winnie,F
Claudia,F
Marguerite,F
Vera,F
Cecelia,F
Bess,F
Emilie,F
John,F
Rosetta,F
Verna,F
Myrtie,F
Cecilia,F
Elva,F
Olivia,F
Ophelia,F
Georgie,F
Elnora,F
Violet,F
Adele,F
Lily,F
Linnie,F
Loretta,F
Madge,F
Polly,F
Virgie,F
Eugenia,F
Lucile,F
Lucille,F
Mabelle,F
Rosalie,F
Kittie,F
Meta,F
Angie,F
Dessie,F
Georgiana,F
Lila,F
Regina,F
Selma,F
Wilhelmina,F
Bridget,F
Lilla,F
Malinda,F
Vina,F
Freda,F
Gertie,F
Jeannette,F
Louella,F
Mandy,F
Roberta,F
Cassie,F
Corinne,F
Ivy,F
Melissa,F
Lyda,F
Naomi,F
Norma,F
Bell,F
Margie,F
Nona,F
Zella,F
Dovie,F
Elvira,F
Erma,F
Irma,F
Leota,F
William,F
Artie,F
Blanch,F
Charity,F
Lorena,F
Lucretia,F
Orpha,F
Alvina,F
Annette,F
Catharine,F
Elma,F
Geneva,F
Janet,F
Lee,F
Leora,F
Lona,F
Miriam,F
Zora,F
Linda,F
Octavia,F
Sudie,F
Zula,F
Adella,F
Alpha,F
Frieda,F
George,F
Joanna,F
Leonora,F
Priscilla,F
Tennie,F
Angeline,F
Docia,F
Ettie,F
Flossie,F
Hanna,F
Letha,F
Minta,F
Retta,F
Rosella,F
Adah,F
Berta,F
Elisabeth,F
Elise,F
Goldie,F
Leola,F
Margret,F
Adaline,F
Floy,F
Idella,F
Juanita,F
Lenna,F
Lucie,F
Missouri,F
Nola,F
Zoe,F
Eda,F
Isabell,F
James,F
Julie,F
Letitia,F
Madeline,F
Malissa,F
Mariah,F
Pattie,F
Vivian,F
Almeda,F
Aurelia,F
Claire,F
Dolly,F
Hazel,F
Jannie,F
Kathleen,F
Kathrine,F
Lavinia,F
Marietta,F
Melvina,F
Ona,F
Pinkie,F
Samantha,F
Susanna,F
Chloe,F
Donnie,F
Elsa,F
Gladys,F
Matie,F
Pearle,F
Vesta,F
Vinnie,F
Antoinette,F
Clementine,F
Edythe,F
Harriette,F
Libbie,F
Lilian,F
Lue,F
Lutie,F
Magdalena,F
Meda,F
Rita,F
Tena,F
Zelma,F
Adelia,F
Annetta,F
Antonia,F
Dona,F
Elizebeth,F
Georgianna,F
Gracie,F
Iona,F
Lessie,F
Leta,F
Liza,F
Mertie,F
Molly,F
Neva,F
Oma,F
Alida,F
Alva,F
Cecile,F
Cleo,F
Donna,F
Ellie,F
Ernestine,F
Evie,F
Frankie,F
Helene,F
Minna,F
Myrta,F
Prudence,F
Queen,F
Rilla,F
Savannah,F
Tessie,F
Tina,F
Agatha,F
America,F
Anita,F
Arminta,F
Dorothea,F
Ira,F
Luvenia,F
Marjorie,F
Maybelle,F
Mellie,F
Nan,F
Pearlie,F
Sidney,F
Velma,F
Clare,F
Constance,F
Dixie,F
Ila,F
Iola,F
Jimmie,F
Louvenia,F
Lucia,F
Ludie,F
Luna,F
Metta,F
Patsy,F
Phebe,F
Sophronia,F
Adda,F
Avis,F
Betsy,F
Bonnie,F
Cecil,F
Cordie,F
Emmaline,F
Ethelyn,F
Hortense,F
June,F
Louie,F
Lovie,F
Marcella,F
Melinda,F
Mona,F
Odessa,F
Veronica,F
Aimee,F
Annabel,F
Ava,F
Bella,F
Carolina,F
Cathrine,F
Christena,F
Clyde,F
Dena,F
Dolores,F
Eleanore,F
Elmira,F
Fay,F
Frank,F
Jenny,F
Kizzie,F
Lonnie,F
Loula,F
Magdalene,F
Mettie,F
Mintie,F
Peggy,F
Reba,F
Serena,F
Vida,F
Zada,F
Abigail,F
Celestine,F
Celina,F
Claudie,F
Clemmie,F
Connie,F
Daisie,F
Deborah,F
Dessa,F
Easter,F
Eddie,F
Emelia,F
Emmie,F
Imogene,F
India,F
Jeanne,F
Joan,F
Lenore,F
Liddie,F
Lotta,F
Mame,F
Nevada,F
Rachael,F
Sina,F
Willa,F
Aline,F
Beryl,F
Charles,F
Daisey,F
Dorcas,F
Edmonia,F
Effa,F
Eldora,F
Eloise,F
Emmer,F
Era,F
Gena,F
Henry,F
Iris,F
Izora,F
Lennie,F
Lissie,F
Mallie,F
Malvina,F
Mathilde,F
Mazie,F
Queenie,F
Robert,F
Rosina,F
Salome,F
Theodora,F
Therese,F
Vena,F
Wanda,F
Wilda,F
Altha,F
Anastasia,F
Besse,F
Bird,F
Birtie,F
Clarissa,F
Claude,F
Delilah,F
Diana,F
Emelie,F
Erna,F
Fern,F
Florida,F
Frona,F
Hilma,F
Joseph,F
Juliet,F
Leonie,F
Lugenia,F
Mammie,F
Manda,F
Manerva,F
Manie,F
Nella,F
Paulina,F
Philomena,F
Rae,F
Selina,F
Sena,F
Theodosia,F
Tommie,F
Una,F
Vernie,F
Adela,F
Althea,F
Amalia,F
Amber,F
Angelina,F
Annabelle,F
Anner,F
Arie,F
Clarice,F
